,BILL DATE,SOLD TO PARTY,QTY(1000 SM3),INDUSTORY SECTOR,Receiving Point,Start Date,End Date,Average Temperature,Difference,holiday_count
785323,2019-04-15,10005,6163.177,Power Industry,"Krishna, Andhra Pradesh",2019-04-15,2019-04-30,32.01979166666667,15 days,0
795302,2019-04-30,10005,6012.961,Power Industry,"Krishna, Andhra Pradesh",2019-04-15,2019-04-30,32.01979166666667,0 days,2
800708,2019-05-15,10005,6046.048,Power Industry,"Krishna, Andhra Pradesh",2019-04-30,2019-05-15,33.795572916666664,0 days,1
813591,2019-05-31,10005,5476.559,Power Industry,"Krishna, Andhra Pradesh",2019-05-15,2019-05-31,33.73529411764706,0 days,0
816496,2019-06-15,10005,5723.065,Power Industry,"Krishna, Andhra Pradesh",2019-05-31,2019-06-15,34.20625,0 days,3
832711,2019-06-30,10005,5529.525,Power Industry,"Krishna, Andhra Pradesh",2019-06-15,2019-06-30,31.726822916666663,0 days,0
853484,2019-07-15,10005,8243.367,Power Industry,"Krishna, Andhra Pradesh",2019-06-30,2019-07-15,30.624479166666667,0 days,0
871750,2019-07-31,10005,11789.136,Power Industry,"Krishna, Andhra Pradesh",2019-07-15,2019-07-31,28.85686274509804,0 days,0
885459,2019-08-15,10005,13482.708,Power Industry,"Krishna, Andhra Pradesh",2019-07-31,2019-08-15,28.136458333333334,0 days,3
890021,2019-08-31,10005,11301.47,Power Industry,"Krishna, Andhra Pradesh",2019-08-15,2019-08-31,28.85245098039216,0 days,1
901647,2019-09-15,10005,7360.118,Power Industry,"Krishna, Andhra Pradesh",2019-08-31,2019-09-15,28.105729166666663,0 days,1
915350,2019-09-30,10005,7171.93,Power Industry,"Krishna, Andhra Pradesh",2019-09-15,2019-09-30,27.13359375,0 days,0
2265913,2019-10-15,10005,5871.615,Power Industry,"Krishna, Andhra Pradesh",2019-09-30,2019-10-15,26.953645833333333,0 days,1
2282105,2019-10-31,10005,6011.121,Power Industry,"Krishna, Andhra Pradesh",2019-10-15,2019-10-31,26.15,0 days,1
2308682,2019-11-15,10005,5954.156,Power Industry,"Krishna, Andhra Pradesh",2019-10-31,2019-11-15,26.608072916666668,0 days,1
2326083,2019-11-30,10005,5939.797,Power Industry,"Krishna, Andhra Pradesh",2019-11-15,2019-11-30,26.135416666666668,0 days,0
2354640,2019-12-01,10005,0.0,Power Industry,"Delhi, India",2019-11-30,2019-12-01,15.879166666666666,0 days,0
2339330,2019-12-15,10005,5828.106,Power Industry,"Krishna, Andhra Pradesh",2019-11-30,2019-12-15,25.097395833333334,0 days,0
2356734,2019-12-31,10005,6275.95,Power Industry,"Krishna, Andhra Pradesh",2019-12-15,2019-12-31,24.749019607843135,0 days,1
2386595,2020-01-15,10005,5628.017,Power Industry,"Krishna, Andhra Pradesh",2019-12-31,2020-01-15,24.276822916666667,0 days,1
2406076,2020-01-31,10005,5296.739,Power Industry,"Delhi, India",2020-01-31,2020-01-31,12.1125,0 days,1
2425552,2020-02-15,10005,4606.112,Power Industry,"Delhi, India",2020-02-15,2020-02-15,17.116666666666667,0 days,0
2445036,2020-02-29,10005,4332.259,Power Industry,"Delhi, India",2020-02-29,2020-02-29,18.495833333333334,0 days,0
2477568,2020-03-15,10005,4539.262,Power Industry,"Delhi, India",2020-03-15,2020-03-15,16.575,0 days,1
2486073,2020-03-31,10005,4277.503,Power Industry,"Delhi, India",2020-03-15,2020-03-31,21.142156862745097,0 days,0
3873536,2020-05-15,10005,3272.135,Power Industry,"Krishna, Andhra Pradesh",2020-03-31,2020-05-15,31.598641304347822,0 days,4
3878942,2020-05-31,10005,4601.601,Power Industry,"Delhi, India",2020-05-15,2020-05-31,32.54656862745098,0 days,3
3883503,2020-06-15,10005,4756.176,Power Industry,"Delhi, India",2020-05-31,2020-06-15,31.359895833333333,0 days,1
3889714,2020-06-30,10005,4835.861,Power Industry,"Delhi, India",2020-06-15,2020-06-30,33.37890625,0 days,0
3892205,2020-07-15,10005,3527.328,Power Industry,"Delhi, India",2020-06-30,2020-07-15,31.966666666666665,0 days,0
3904247,2020-07-31,10005,315.702,Power Industry,"Delhi, India",2020-07-15,2020-07-31,29.879901960784316,0 days,1
3911715,2020-08-15,10005,2298.998,Power Industry,"Delhi, India",2020-07-31,2020-08-15,29.784895833333334,0 days,3
3917303,2020-08-31,10005,2998.167,Power Industry,"Delhi, India",2020-08-15,2020-08-31,28.46397058823529,0 days,2
3921034,2020-09-15,10005,3472.886,Power Industry,"Delhi, India",2020-08-31,2020-09-15,29.523177083333334,0 days,0
3930559,2020-09-30,10005,5503.995,Power Industry,"Krishna, Andhra Pradesh",2020-09-15,2020-09-30,27.496354166666663,0 days,0
4645114,2021-10-15,10005,5817.57,Power Industry,"Krishna, Andhra Pradesh",2020-09-30,2021-10-15,27.84022309711286,0 days,19
4646544,2021-10-31,10005,5987.764,Power Industry,"Krishna, Andhra Pradesh",2021-10-15,2021-10-31,27.13921568627451,0 days,1
4648222,2021-11-15,10005,6798.061,Power Industry,"Krishna, Andhra Pradesh",2021-10-31,2021-11-15,25.2234375,0 days,1
4649259,2021-11-30,10005,8364.929,Power Industry,"Krishna, Andhra Pradesh",2021-11-15,2021-11-30,25.522135416666668,0 days,0
4650294,2021-12-15,10005,6919.879,Power Industry,"Krishna, Andhra Pradesh",2021-11-30,2021-12-15,24.76796875,0 days,0
4651347,2021-12-31,10005,7533.007,Power Industry,"Krishna, Andhra Pradesh",2021-12-15,2021-12-31,22.88995098039216,0 days,1
4652387,2022-01-15,10005,7231.064,Power Industry,"Krishna, Andhra Pradesh",2021-12-31,2022-01-15,23.586197916666663,0 days,1
4653223,2022-01-31,10005,7793.874,Power Industry,"Krishna, Andhra Pradesh",2022-01-15,2022-01-31,23.923529411764704,0 days,1
4654075,2022-02-15,10005,7261.93,Power Industry,"Krishna, Andhra Pradesh",2022-01-31,2022-02-15,25.00130208333333,0 days,0
4654893,2022-02-28,10005,5491.043,Power Industry,"Krishna, Andhra Pradesh",2022-02-15,2022-02-28,26.37708333333333,0 days,0
4655722,2022-03-15,10005,7301.341,Power Industry,"Krishna, Andhra Pradesh",2022-02-28,2022-03-15,28.27734375,0 days,0
4656551,2022-03-31,10005,7743.106,Power Industry,"Krishna, Andhra Pradesh",2022-03-15,2022-03-31,30.2093137254902,0 days,1
5328530,2022-04-15,10005,7941.615,Power Industry,"Krishna, Andhra Pradesh",2022-03-31,2022-04-15,30.703645833333333,0 days,2
5331442,2022-04-30,10005,7819.21,Power Industry,"Krishna, Andhra Pradesh",2022-04-15,2022-04-30,32.32734375,0 days,2
5332286,2022-05-15,10005,7192.473,Power Industry,"Krishna, Andhra Pradesh",2022-04-30,2022-05-15,31.522916666666667,0 days,3
5333133,2022-05-31,10005,7365.997,Power Industry,"Krishna, Andhra Pradesh",2022-05-15,2022-05-31,33.303186274509805,0 days,0
5333960,2022-06-15,10005,6543.832,Power Industry,"Krishna, Andhra Pradesh",2022-05-31,2022-06-15,34.3890625,0 days,1
5336865,2022-06-30,10005,5720.185,Power Industry,"Krishna, Andhra Pradesh",2022-06-15,2022-06-30,29.816145833333334,0 days,0
5337693,2022-07-15,10005,7353.984,Power Industry,"Krishna, Andhra Pradesh",2022-06-30,2022-07-15,27.49453125,0 days,2
5340595,2022-07-31,10005,6479.483,Power Industry,"Krishna, Andhra Pradesh",2022-07-15,2022-07-31,27.938970588235293,0 days,0
5341419,2022-08-15,10005,5395.492,Power Industry,"Krishna, Andhra Pradesh",2022-07-31,2022-08-15,27.684114583333333,0 days,2
5344326,2022-08-31,10005,5286.08,Power Industry,"Krishna, Andhra Pradesh",2022-08-15,2022-08-31,28.42450980392157,0 days,1
5345172,2022-09-15,10005,5458.279,Power Industry,"Krishna, Andhra Pradesh",2022-08-31,2022-09-15,27.738541666666663,0 days,0
5346018,2022-09-30,10005,5198.457,Power Industry,"Krishna, Andhra Pradesh",2022-09-15,2022-09-30,27.380729166666665,0 days,0
5960186,2022-10-15,10005,115.98,Power Industry,"Krishna, Andhra Pradesh",2022-09-30,2022-10-15,26.2375,0 days,2
935273,2019-04-15,10007,3006.458,Power Industry,"Bhuj, Gujarat",2019-04-15,2019-04-15,28.58333333333333,0 days,0
957470,2019-04-30,10007,4646.459,Power Industry,"Bhuj, Gujarat",2019-04-15,2019-04-30,30.043489583333333,0 days,2
